Country,Country Classification,Industry,Technology,Dimensions,Customer-Provider,Challenges
Denmark,Developed,,"IOT & Cyber-physical systems, Information & Communication Technologies",,No,"-Challenges for digital interoperability: Lack of adequate and open inter-organizational data sharing format, communications, privacy and security issues, and product and order-oriented data.
-Further empirical investigations are needed to understand the AI application in supply chain
management
-The MES should interconnect all components of cyber-physical systems, and there are research opportunities to
study MES for collaborative production management Decentralized control is needed for Industry 4.0 systems,
and research needs to investigate the logical decentralization of computing resources for horizontal
integration
-Seamless and effective IT integration is challenging for
effortless access and management of distributed data | nan | nan | nan"
Slovenia,Developed,Manufacturing Industry,Industry 4.0 in general,Technological e non-technological,No,"Technological Challenges:
Perceived complexity of technologies: ""The lack of internal absorptive capacity may increase perceived complexity and reduce the perceived ease of use of Industry 4.0 technological factors—especially in terms of represented solutions—thus delaying an organization’s readiness for their implementation""​
Lack of readiness for technological adoption: ""Firms in settings such as these often lack the knowledge and skills (non-technological factors) relevant for the adoption of new technologies, which reduces their ability to benefit from Industry 4.0’s technological attributes""​
Non-Technological Challenges:
Insufficient absorptive capacity: ""Absorptive capacity embodied in business models, organizational culture, structure, and orientation"" is critical for the adoption of new technologies​
Organizational and cultural resistance: ""The lack of the latter [non-technological changes] may present a barrier to technology implementation and could even result in adverse eff | nan | nan | nan"
Brazil,Developing,Startups,Industry 4.0 in general,"-Knowledge management
-Financial
-Process Management & Governance
-Technological
-Social Behaviour
-Policy & Regulatory",No,"Knowledge management
B01. Lack of knowledge about technology application and sustainability
B02. Lack of knowledge about good environmental practices
B03. Lack of skilled labor
B04. Lack of environmental awareness and education
B05. Lack of perception of environmental and economic gains Financial
B06. Lack of financial resources 
B07. High implementation and running costs Initial and operating costs can be prohibitive for some companies, particularly those working under budget constraints or in uncertain markets.
B08. Lack of investment in digitalization for sustainability Process
Management & Governance
B09. Lack of leadership and management support
B10. Lack of a responsible sector within the client
B11. Difficulties in process adaptation | B12. Lack of cooperation and coordination between business partner
B13. Lack of innovation capacity
B14. Lack of integration of company areas
B15. Lack of long-term planning
B16. Lack of confidence in investment and risk aversion
Technological
B17. Lack of infrastructure for GDPL application
B18. Difficulty in supporting and maintaining systems
B19. Difficulties in data collection and storage 
B20. Difficulties in data analysis and model building
B21. Technological failures and limitations
B22. Lack of interoperability and integration
B23. Data Security and Privacy issues
B24. Lack of standards and protocols
B25. Lack of models and tools
B26. Lack of adequate IT infrastructure
Social Behaviour
B34. Data sharing concerns
B35. Lack of care for public property
B36. Difficulties related to consumer behaviour
B37. Corruption and lack of transparency in waste management
B38. Fear of structural unemployment
B39. Lack of market pressures and demands
B40. Resistance to change
Policy & Regulator | olicy & Regulatory (Política e Regulamentação)
B41. Lack of government incentives
B42. Excessive bureaucracy and taxation in the country
B43. High cost of importing material and technologies
B44. Low government inspection and control
B45. Low environmental targets | nan"
Bangladesh,Developing,Textile industry,Industry 4.0 in general,not mentioned,No,"Concern for environmental protection and sustainability
""The negative environmental impacts of some I5.0 technologies have increased concern among the stakeholders of SCs in developing countries, which has slowed down the process of I5.0 implementation""​

Scarcity of in-house talents and skilled employees
""That lack of in-house talent and skilled workers has also hindered the adoption of modern technologies in organisations""

Inadequate knowledge about disruptive technologies
""In addition, most companies in developing countries have insufficient knowledge and understanding of automation and disruptive technologies""​(Industry 5.0 challenges…).

Lack of active involvement of senior managers
""Insufficient organisational capabilities and commitment from higher management""​

Weak IT infrastructure and other facilities
""Lack of reliable information and technological infrastructure as one of the challenges to automation for organisations in developing countries""​ | ""Insufficient investment often impedes the progress of introducing automation within local companies in developing countries""
""Risk in data ownership and data security""
""Market uncertainty and disruptions to employment as challenges to implementing I5.0 technologies in SCs""
""Difficulties in the data management system""​
""Disruptions to employment due to COVID-19""​
""Implementation of I5.0 practices requires adequate capabilities to reshape the existing production pattern""​
""Aversion to technological change post-COVID-19 should also be considered a challenge to automation""
""Lack of increased preparedness after COVID-19""
""Lack of integrated and collaborative approach""​
""Financial support and funding (e.g., tax reduction, short loans, etc.) from investors and the government play a pivotal role in enabling sustainability in SCs"" | nan | nan"
Italy,Developed,Manufacturing Industry,Industry 4.0 in general,,Yes,"1-Lack of Awareness for Estimating Benefits Brought by Technology
2-Current Infrastructure Limitation
3-High Investment for Hardware and Software
4-High Investment for Competencies Acquire and Development
5-Limited Commitment from Business Partners in SC
6-Absence of Adequate Technology Provider
7-Lack of Maturity and Reliability of the Technology | nan | nan | nan"
Developing Countries,Developing,Manufacturing Supply chain,Blockchain,no,No,"C1-Technical and infrastructural obstacles
C2-Financial and budgetary obstacles
C3-Security and privacy obstacles
C4 Unawareness of blockchain technology 
C5-A shortage of human resources and implementation expertise/knowledge
C6-Social-environmental barriers and energy consumption
C7-A lack of cooperation, communication and coordination
C8-A lack of management commitment and support
C9-Scalability | nan | nan | nan"
Italy,Developed,Textile industry,Augmented & Virtual Reality,not mentioned,No,"Balancing Quality vs. Lead Time:

""The need to balance short lead times and elevated quality levels requires the adoption of appropriate approaches that should be integrated into companies' best practices"" (Fani et al., 2023).
Companies struggle with defining sample sizes for quality control, as static parameters are not suitable for fast-changing environments.
Data Utilization in Low-Tech Sectors:

""The huge amount of data collected even by low-tech companies through I4.0 solutions to trace quality control outcomes remains quite often non-used, leading to the ‘rich data but poor information’ issue"" (Fani et al., 2023).
Traditional quality control relies on fixed parameters, which do not adapt well to dynamic production environments.
AR Effectiveness & Usability: | ""From a quantitative perspective, only for non-expert operators has a statistically significant improvement in the duration of the inspection process been noticed"" (Fani et al., 2023).
Experienced operators did not benefit as much from AR tools as non-experienced workers.
The usability of AR devices could be improved, as handheld tablets limit hands-free operation.
Supplier Performance and Quality Assurance:

""Recurrent defects can be highlighted to the related supplier, suggesting the introduction of improvement actions in their production process in order to reduce their occurrence"" (Fani et al., 2023).
The study suggests that data mining should be used to guide supplier evaluations and define corrective actions.
Technology Adoption Barriers:

""The main limitation of the proposed application is related to the use of a device, e.g., a smartphone or tablet, that needs to be held by the operator"" (Fani et al., 2023).
The lack of hands-free AR solutions affects efficiency.
Companies may | nan | nan"
Global,Global,Manufacturing Industry,Digital Twin,"-System integration
-Security
-Performance
-Organizational
-Data Quality
-Environmental",No,"-System integration
Lack of standards and acknowledged compatibility
Lack of structured data model and coherent data formats
-Security
Cyber-security and data protection
Lack of data transparency
Lack of intellectual property protection
Necessity to share the DT among multiple application
systems involving multiple stakeholders
-Performance
Lack of high-performance real-time communication
systems
Complexity in ensuring the correct timeliness of data
Lack of pervasive data-gathering technologies
Lack of high-performance data storage and analysis
Lack of interaction systems between physical and virtual
environments
Weak Internet-enabled connections and high latency
problems
Lack of alternative connection types
Lack of reliability and robustness
Lack of flexibility and modularity
Lack of high computation capability and
computationally fast models
Complexity in ensuring scalability
Complexity in virtualizing, updating, and predicting
complex systems
Lack of standards in modelling | Organizational
High bureaucracy
Cultural inertia
Lack of necessary skills
Requirement to set realistic expectations, trust, and value propositions
Purchase of expensive sensors
Purchase of expensive software modules
Purchase of expensive data acquisition and storage systems
Necessity for standardization and simplification of processes and lack of processes
representation or a lack of description of the physical behaviour of critical machines
Complexity in data management
Long-time implementation process
Data Quality
Lack of data quality, completeness and accuracy
Low data availability
Environmental
Uncertainty of technological needs
Lack of practical implementations
Lack of literature maturity
Different development of required technologies
Difficulty in software selection
Lack in education on the topic
Lack in homogeneity in manufacturers’ machines and software | nan | nan"
Indonesia,Developing,"Automotive Sector, Cosmetics, Electronics Manufacturing Field, Food and beverage manufacturing, Oil and gas, Textile industry",Industry 4.0 in general,,No,"Unclear IR 4.0 (UIR), 
Higher-risk investment (HrI),
Insecure data sharing (IDS),
Lack of expertise (LE),
No incentive (NI), | nan | nan | nan"
Global,Global,Manufacturing Supply chain,Blockchain,"Technological:
Heavy investment in infrastructure
Complexity
Security challenge
Scalability
Non-admission of technology
Accessibility of technology
The negative perception toward BC
Immutability challenge
Immaturity",No,"TOE Dimensions - Barriers and Explanations

Technological
Heavy investment in infrastructure:
“Despite SMEs’ financial constraints, BC adoption needs heavy investment in software and infrastructure, as insufficient infrastructure leads to failure in implementation.”

Complexity:
“BC is more complicated than traditional systems, and the internal knowledge of firms should be improved.”

Security challenge:
“Though security is one of the promising characteristics of BC in SCM, it is also a source of uncertainty because of security challenges related to privacy concerns, the trade-off between security and performance, cybersecurity issues, and threats.”

Scalability:
“Scalability is a technical challenge for SCMs. However, according to the expected transactions’ speed, volume, and tolerated confirmation, latency could act as a determinant for SMEs to use public or private BC.”

Non-admission of technology:
“There are various reasons for hesitation in acceptance BC by different stakeholders | Accessibility of technology: 
the Internet bandwidth, IT infrastructure, and basic knowledge about the technology make it hardly accessible, especially for SMEs which are generally deprived of these items.

The negative  perception toward BC:
Immaturity and security challenges impose negative perceptions toward BC technology.

Immutability challenge: 
Immutability is a two-sided feature of BC. If an SME seeks a more flexible system toward human errors, BC is not a good choice.

Immaturity""
Immaturity of BC refers to challenges like scalability, interoperability,
latency, usability, storage large size of blocks, and dealing with a large
number of transactions. | nan | nan"
